brand,model,platform,domain_controller,soc_brand,soc_family,lidar,lidar_brand,confidence,notes
SUZUKI,VITARA,basic,no,None,,no,,low,
# ---- Chinese brands (Qualcomm 8155 typical) ----
MG ROEWE,4,MG cockpit,yes,Qualcomm,Snapdragon 8155,no,,medium,MG4
MG ROEWE,ZS,MG cockpit,partial,Qualcomm,Snapdragon 8155,no,,low,
BYD,SEAL U,DiLink,yes,Qualcomm,Snapdragon 8155,no,,low,BYD DiLink
BYD,SEAL,DiLink,yes,Qualcomm,Snapdragon 8155,no,,low,
MG ROEWE,3,MG cockpit,partial,Qualcomm,Snapdragon 8155,no,,low,MG3 hybrid
MG ROEWE,RX6,MG cockpit,partial,Qualcomm,Snapdragon 8155,no,,low,
SMART,1,ECARX,yes,Qualcomm,Snapdragon 8155,no,,medium,Geely/ECARX
LEAPMOTOR,T03,Leapmotor,partial,Qualcomm,Snapdragon 8155,no,,low,Stellantis-distributed
# ---- Additional higher-volume models ----
KIA,EV6,ccNC,yes,Qualcomm,Snapdragon 8155,no,,medium,
KIA,STONIC,AVN,no,None,,no,,low,small car
KIA,NIRO,ccNC,yes,Qualcomm,Snapdragon 8155,no,,low,
HYUNDAI,BAYON,AVN,no,None,,no,,low,small car
MITSUBISHI,COLT,Renault-based,partial,Qualcomm,Snapdragon Cockpit,no,,low,Clio rebadge
MITSUBISHI,ASX,Renault-based,partial,Qualcomm,Snapdragon Cockpit,no,,low,Captur rebadge
LAND ROVER,DEFENDER,Pivi Pro,yes,NXP,i.MX,no,,low,JLR Pivi Pro
JEEP,COMPASS,Uconnect5,partial,Undisclosed,,no,,low,
VW,ARTEON,MQB (MIB3),yes,Renesas,R-Car M3,no,,low,
VW,CRAFTER,commercial,no,Undisclosed,,no,,low,van
VW,UP,basic,no,None,,no,,low,small car discontinued
